"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",5,"2.1%","2.1%","4.3%","20%","100%",4,6,18,3.7,"73.3%","12.2%","-","-","-","-","-","-",360,"26.3%","23.0%",0.48,0.21
"Akali","-",0,"0%","0.4%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Alistar","Support",30,"12.9%","6.0%","18.9%","43%","78%",24,86,265,3.4,"72.8%","21.4%","-","-","-","-","-","-",141,"6.9%","12.5%",1.58,0.32
"Ashe","ADC",53,"22.7%","6.0%","28.8%","43%","50%",133,115,301,3.8,"70.7%","17.5%","-","-","-","-",8.7,"-",480,"25.3%","23.4%",0.37,0.3
"Bard","Support",18,"7.7%","1.7%","9.4%","61%","57%",11,44,143,3.5,"74.4%","20.3%","-","-","-","-","-","-",245,"12.9%","11.8%",1.43,0.46
"Blitzcrank","Support",10,"4.3%","3.4%","7.7%","40%","100%",13,28,60,2.6,"66.4%","21.7%","-","-","-","-","-","-",137,"8.7%","12.2%",1.43,0.29
"Brand","Support",6,"2.6%","0.9%","3.4%","33%","100%",7,21,33,1.9,"53.3%","20.6%","-","-","-","-","-","-",503,"23.2%","12.7%",1.38,0.4
"Braum","Support",88,"37.8%","14.2%","51.9%","49%","49%",40,229,777,3.6,"76.7%","20.2%","-","-","-","-","-","-",151,"8.0%","12.0%",1.48,0.3
"Caitlyn","ADC",73,"31.3%","39.9%","71.2%","47%","22%",236,147,318,3.8,"71.2%","16.5%","-","-","-","-",9.9,"-",603,"31.2%","25.9%",0.36,0.34
"Camille","Top",34,"14.6%","15.9%","30.5%","44%","68%",112,95,124,2.5,"63.6%","24.7%","-","-","-","-","-","-",385,"22.1%","23.6%",0.5,0.12
"Cassiopeia","Middle",36,"15.5%","27.0%","42.5%","58%","68%",147,76,198,4.5,"69.8%","18.3%","-","-","-","-","-","-",591,"28.2%","23.7%",0.38,0.23
"Cho'Gath","Jungle",6,"2.6%","12.4%","29.2%","83%","25%",20,10,53,7.3,"79.3%","18.2%","-","-","-","-","-","-",274,"12.2%","16.9%",0.89,0.34
"Cho'Gath","Middle",3,"1.3%","12.4%","29.2%","100%","100%",9,3,11,6.7,"60.6%","15.0%","-","-","-","-",7.5,"-",212,"13.0%","20.1%",0.55,0.12
"Cho'Gath","Top",30,"12.9%","12.4%","29.2%","40%","10%",69,88,124,2.2,"64.1%","23.5%","-","-","-","-","-","-",390,"19.9%","20.8%",0.51,0.11
"Corki","ADC",1,"0.4%","6.0%","30.0%","0%","0%",1,4,3,1,"80.0%","28.6%","-","-","-","-","-","-",320,"24.0%","25.5%",0.41,0.18
"Corki","Middle",55,"23.6%","6.0%","30.0%","60%","50%",211,113,292,4.5,"74.9%","17.9%","-","-","-","-","-","-",680,"33.9%","25.6%",0.36,0.34
"Dr. Mundo","Top",1,"0.4%","0.4%","0.9%","100%","-",4,4,8,3,"80.0%","26.7%","-","-","-","-","-","-",459,"21.1%","20.4%",0.5,0
"Ekko","Middle",7,"3.0%","2.6%","5.6%","57%","100%",24,15,24,3.2,"67.6%","19.0%","-","-","-","-","-","-",442,"25.6%","24.1%",0.53,0.11
"Elise","Jungle",50,"21.5%","62.2%","83.7%","56%","25%",124,144,271,2.7,"68.6%","23.3%","-","-","-","-",6.3,"-",320,"17.1%","17.6%",0.99,0.43
"Evelynn","Jungle",2,"0.9%","0.9%","1.7%","100%","0%",7,4,26,8.3,"70.2%","22.2%","-","-","-","-","-","-",457,"19.6%","17.6%",0.63,0.1
"Fiora","Top",13,"5.6%","24.0%","29.6%","38%","33%",44,40,43,2.2,"57.6%","20.2%","-","-","-","-","-","-",411,"23.4%","23.7%",0.48,0.11
"Fizz","Middle",1,"0.4%","0.4%","0.9%","0%","-",1,6,3,0.7,"50.0%","27.3%","-","-","-","-","-","-",280,"17.2%","19.2%",0.46,0.09
"Galio","Middle",46,"19.7%","51.9%","77.3%","52%","3%",91,93,349,4.7,"77.6%","17.5%","-","-","-","-","-","-",376,"19.6%","20.8%",0.38,0.18
