"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",9,"2.7%","0.0%","2.7%","0%","89%",13,40,29,1.1,"56.0%","21.5%","-","-","-","-",7.6,"-",391,"21.0%","22.6%",0.35,0.13
"Akali","Middle",39,"11.9%","50.6%","69.5%","72%","21%",195,51,190,7.5,"64.5%","13.6%","-","-","-","-",8.3,"-",520,"24.5%","23.1%",0.3,0.16
"Akali","Top",23,"7.0%","50.6%","69.5%","61%","57%",94,55,107,3.7,"57.4%","21.3%","-","-","-","-",7.8,"-",441,"21.9%","22.4%",0.33,0.18
"Alistar","Support",40,"12.2%","7.0%","19.2%","63%","78%",33,117,356,3.3,"70.0%","24.1%","-","-","-","-",1.5,"-",142,"7.0%","9.7%",1.63,0.28
"Aphelios","ADC",104,"31.7%","10.1%","41.8%","46%","39%",349,271,463,3,"62.4%","18.8%","-","-","-","-",9.6,"-",509,"26.8%","27.0%",0.37,0.41
"Ashe","ADC",19,"5.8%","2.7%","8.5%","53%","68%",42,36,148,5.3,"66.2%","14.2%","-","-","-","-",8.9,"-",451,"23.1%","23.4%",0.41,0.36
"Azir","Middle",11,"3.4%","0.6%","4.0%","36%","73%",20,27,39,2.2,"63.4%","17.9%","-","-","-","-",9.2,"-",480,"29.3%","24.9%",0.4,0.29
"Bard","Support",8,"2.4%","0.6%","3.0%","75%","100%",1,12,76,6.4,"77.8%","20.0%","-","-","-","-",1.1,"-",188,"9.6%","9.4%",1.98,0.46
"Blitzcrank","Support",1,"0.3%","0.0%","0.3%","0%","100%",2,5,4,1.2,"50.0%","27.8%","-","-","-","-",1.2,"-",113,"5.1%","8.8%",1.69,0.47
"Brand","ADC",3,"0.9%","0.3%","1.2%","67%","100%",8,8,16,3,"51.1%","27.6%","-","-","-","-",8,"-",550,"27.0%","20.5%",0.38,0.26
"Braum","Support",57,"17.4%","6.7%","24.1%","49%","68%",31,139,534,4.1,"75.4%","20.4%","-","-","-","-",1.2,"-",155,"7.7%","9.1%",1.64,0.34
"Camille","Top",50,"15.2%","21.6%","36.9%","48%","38%",179,146,256,3,"62.3%","21.2%","-","-","-","-",8.1,"-",473,"24.0%","23.7%",0.39,0.16
